,ISO,dt_00,dt_01,dt_02,dt_03,dt_04,dt_05,dt_06,evaldt_00,evaldt_01,evaldt_02,evaldt_03,evaldt_04,evaldt_05,evaldt_06
42,GNB,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
43,GUY,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
44,HND,6,6,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
45,HKG,2,2,2,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
46,IND,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
47,IDN,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
48,IRN,5,6,6,6,6,6,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
49,IRQ,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
50,JAM,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
51,JOR,5,5,5,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
52,KAZ,6,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
53,KEN,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
54,KWT,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
55,KGZ,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
56,LBN,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
57,LSO,4,5,5,5,5,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
58,LBR,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
59,LBY,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
60,MDG,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
61,MWI,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
62,MYS,2,3,3,3,3,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
63,MDV,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
64,MLI,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
65,MRT,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
66,MUS,2,2,2,2,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
67,MEX,4,4,4,4,4,4,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
68,MDA,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
69,MNG,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
70,MAR,4,4,4,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
71,MOZ,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
72,MMR,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
73,NPL,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
74,NIC,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
75,NER,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
76,NGA,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
77,MKD,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
78,OMN,3,3,3,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
79,PAK,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
80,PAN,4,4,4,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
81,PNG,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
82,PRY,5,5,5,5,5,5,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
83,PER,6,6,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
84,PHL,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
85,QAT,4,4,4,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
86,ROU,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
87,RUS,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
88,RWA,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
89,SAU,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
90,SEN,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
91,SRB,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
92,SGP,0,0,0,0,0,0,0,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
93,SOM,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
94,ZAF,3,3,3,3,3,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
95,LKA,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
96,SDN,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
97,SYR,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
98,TWN,1,1,1,1,1,1,1,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
99,TJK,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
100,TZA,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
101,THA,4,4,4,4,4,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
102,TGO,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
103,TTO,3,3,3,3,3,3,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
104,TUN,3,3,3,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
105,TUR,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
106,TKM,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
107,UGA,6,6,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
108,UKR,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
109,ARE,2,2,2,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
110,URY,4,4,4,4,4,4,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
111,UZB,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
112,VEN,5,5,5,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
113,VNM,6,6,6,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
114,YEM,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
115,ZMB,7,7,7,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
116,ZWE,5,6,6,6,6,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00
117,ALB,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
118,DZA,6,6,6,6,6,6,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
119,AGO,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
120,ATG,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
121,ARG,5,5,5,5,5,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
122,ARM,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
123,AZE,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
124,BHS,3,3,3,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
125,BHR,3,3,3,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
126,BGD,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
127,BLR,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
128,BEN,6,6,6,6,6,6,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
129,BOL,6,6,6,6,6,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
130,BIH,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
131,BWA,2,2,2,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
132,BRA,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
133,BGR,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
134,BFA,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
135,CPV,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
136,CMR,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
137,CAF,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
138,TCD,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
139,CHN,2,2,2,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
140,COL,4,4,4,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
141,COG,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
142,CRI,5,4,4,4,4,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
143,CIV,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
144,HRV,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
145,CUB,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
146,PRK,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
147,COD,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
148,DOM,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
149,ECU,6,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
150,EGY,4,4,4,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
151,SLV,4,4,4,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
152,ETH,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
153,GAB,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
154,GMB,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
155,GEO,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
156,GHA,6,6,5,5,5,5,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
157,GTM,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
158,GIN,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
159,GNB,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
160,GUY,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
161,HND,6,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
162,HKG,2,2,2,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
163,IND,3,3,3,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
164,IDN,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
165,IRN,6,6,6,6,6,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
166,IRQ,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
167,JAM,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
168,JOR,5,5,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
169,KAZ,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
170,KEN,6,6,6,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
171,KWT,3,3,3,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
172,KGZ,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
173,LBN,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
174,LSO,5,5,5,5,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
175,LBR,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
176,LBY,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
177,MDG,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
178,MWI,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
179,MYS,3,3,3,3,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
180,MDV,5,5,5,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
181,MLI,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
182,MRT,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
183,MUS,2,2,2,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
184,MEX,4,4,4,4,4,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
185,MDA,7,7,7,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99,24-Jan-00,02-May-00,13-Jul-00
