,ISO,dt_00,dt_01,dt_02,dt_03,evaldt_00,evaldt_01,evaldt_02,evaldt_03
68,MUS,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
69,MEX,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
70,MDA,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
71,MNG,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
72,MAR,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
73,MOZ,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
74,MMR,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
75,NPL,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
76,NIC,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
77,NER,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
78,NGA,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
79,MKD,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
80,OMN,3,3,3,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
81,PAK,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
82,PAN,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
83,PNG,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
84,PRY,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
85,PER,6,6,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
86,PHL,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
87,QAT,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
88,ROU,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
89,RUS,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
90,RWA,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
91,SAU,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
92,SEN,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
93,SRB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
94,SGP,0,0,0,0,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
95,SOM,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
96,ZAF,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
97,LKA,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
98,SDN,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
99,SYR,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
100,TWN,1,1,1,1,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
101,TJK,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
102,TZA,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
103,THA,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
104,TGO,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
105,TTO,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
106,TUN,3,3,3,3,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
107,TUR,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
108,TKM,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
109,UGA,6,6,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
110,UKR,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
111,ARE,2,2,2,2,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
112,URY,4,4,4,4,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
113,UZB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
114,VEN,5,5,5,5,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
115,VNM,6,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
116,YEM,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
117,ZMB,7,7,7,7,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
118,ZWE,5,6,6,6,01-Jan-99,22-Jan-99,19-Mar-99,17-Jun-99
119,AFG,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
120,ALB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
121,DZA,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
122,AGO,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
123,ATG,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
124,ARG,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
125,ARM,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
126,AZE,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
127,BHS,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
128,BHR,3,3,3,3,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
129,BGD,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
130,BLR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
131,BEN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
132,BTN,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
133,BOL,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
134,BIH,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
135,BWA,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
136,BRA,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
137,BGR,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
138,BFA,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
139,CPV,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
140,CMR,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
141,CAF,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
142,TCD,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
143,CHN,2,2,2,2,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
144,COL,4,4,4,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
145,COG,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
146,CRI,5,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
147,CIV,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
148,HRV,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
149,CUB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
150,PRK,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
151,COD,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
152,DOM,5,5,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
153,ECU,6,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
154,EGY,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
155,SLV,4,4,4,4,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
156,ETH,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
157,GAB,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
158,GMB,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
159,GEO,7,7,7,7,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
160,GHA,6,6,5,5,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
161,GTM,6,6,6,6,22-Jan-99,19-Mar-99,17-Jun-99,14-Oct-99
