,input_option,indicators,type_of_score,iter_no,loss,accuracy,mean squared error
0,BaseLine,0,,0,0.0,0.9741538166999817,0.06830769032239914
1,grades_only,0,,0,0.1337660402059555,0.9741538166999817,0.01684572361409664
2,ev_nm_10_1_5_0_cnt__36,0,cnt,0,0.12411065399646759,0.9766153693199158,0.015278205275535583
3,ev_nm_10_1_5_0_tone__36,0,tone,0,0.1484261155128479,0.9723076820373535,0.018153414130210876
4,ev_nm_10_1_5_1_cnt__36,1,cnt,0,0.12528201937675476,0.9766153693199158,0.015293940901756287
5,ev_nm_10_1_5_1_tone__36,1,tone,0,0.13380871713161469,0.9741538166999817,0.016860269010066986
6,ev_nm_10_1_5_2_cnt__36,2,cnt,0,0.11505334824323654,0.9784615635871887,0.01406846009194851
7,ev_nm_10_1_5_2_tone__36,2,tone,0,0.10895536094903946,0.9803076982498169,0.012936468236148357
8,ev_nm_10_1_5_3_cnt__36,3,cnt,0,0.12510228157043457,0.9772307872772217,0.014974880963563919
9,ev_nm_10_1_5_3_tone__36,3,tone,0,0.12050870805978775,0.9772307872772217,0.014915546402335167
10,ev_nm_10_1_5_4_cnt__36,4,cnt,0,0.129243865609169,0.9747692346572876,0.016418950632214546
11,ev_nm_10_1_5_4_tone__36,4,tone,0,0.1284654587507248,0.9760000109672546,0.01571480743587017
12,ev_nm_10_1_10_0_cnt__36,0,cnt,0,0.12554000318050385,0.9766153693199158,0.015325366519391537
13,ev_nm_10_1_10_0_tone__36,0,tone,0,0.1329626590013504,0.9753845930099487,0.016116807237267494
14,ev_nm_10_1_10_1_cnt__36,1,cnt,0,0.14098943769931793,0.9735384583473206,0.017315423116087914
15,ev_nm_10_1_10_1_tone__36,1,tone,0,0.10681802779436111,0.9803076982498169,0.012863975018262863
16,ev_nm_10_1_10_2_cnt__36,2,cnt,0,0.12594389915466309,0.9760000109672546,0.01566183753311634
17,ev_nm_10_1_10_2_tone__36,2,tone,0,0.12398821860551834,0.9778461456298828,0.01457200851291418
18,ev_nm_10_1_10_3_cnt__36,3,cnt,0,0.09552071243524551,0.984000027179718,0.010631813667714596
19,ev_nm_10_1_10_3_tone__36,3,tone,0,0.13053999841213226,0.9753845930099487,0.01610540598630905
20,ev_nm_10_1_10_4_cnt__36,4,cnt,0,0.13490848243236542,0.9741538166999817,0.01687934808433056
21,ev_nm_10_1_10_4_tone__36,4,tone,0,0.13753093779087067,0.9741538166999817,0.016893794760107994
22,ev_nm_10_2_5_0_cnt__36,0,cnt,0,0.1395481675863266,0.9735384583473206,0.01728922314941883
23,ev_nm_10_2_5_0_tone__36,0,tone,0,0.1146775558590889,0.9790769219398499,0.013696746900677681
