,input_option,economic_inds,archi,iter_no,loss,accuracy,mean squared error
0,BaseLine,,,0,0.0,0.9803076982498169,0.041846152395009995
1,grades_only,,rnn,0,0.10544278472661972,0.9803076982498169,0.012863176874816418
2,ev_nm_20_2_5_1_rnn__36,[ 0  1 14  3  4 18 12 10 13 16],rnn,0,0.12082699686288834,0.9772307872772217,0.014865255914628506
3,ev_nm_20_2_5_1_rnn__36,[ 0  1 14 12 18 10 13 17 15  9],rnn,0,0.10792938619852066,0.980923056602478,0.01254164706915617
4,ev_nm_20_2_5_1_rnn__36,[ 0 13  2  3 16  5 12  7  8 11],rnn,0,0.10834912955760956,0.9803076982498169,0.012949168682098389
5,ev_nm_20_2_5_1_rnn__36,[ 0 14  2 17 18  5 13 11  8 15],rnn,0,0.12419138848781586,0.9772307872772217,0.014996559359133244
6,ev_nm_20_2_5_1_rnn__36,[ 0 11  2  3 15 18  6  7 10  9],rnn,0,0.11789028346538544,0.9778461456298828,0.01434041652828455
7,ev_nm_20_2_5_1_rnn__36,[ 0 17  2 16 18 11  6 13 14  9],rnn,0,0.14669862389564514,0.9735384583473206,0.017453620210289955
8,ev_nm_20_2_5_1_rnn__36,[ 0 13 12  3  4  5  6  7 10  9],rnn,0,0.12495789676904678,0.9760000109672546,0.015678193420171738
9,ev_nm_20_2_5_1_rnn__36,[ 0  1 16 14  4 17  6  7 12 10],rnn,0,0.10874596238136292,0.9803076982498169,0.01295538991689682
10,ev_nm_20_2_5_1_rnn__36,[ 0  1  2 15 13 14 17 11  8 12],rnn,0,0.11705430597066879,0.9784615635871887,0.014186345972120762
11,ev_nm_20_2_5_1_rnn__36,[ 0 14 13  3  4 16  6 15  8  9],rnn,0,0.11054495722055435,0.979692280292511,0.013168515637516975
12,ev_nm_20_2_5_1_rnn__36,[ 0  1  2 14 13  5  6 17 15 18],rnn,0,0.1093282550573349,0.9790769219398499,0.013637827709317207
13,ev_nm_20_2_5_1_rnn__36,[ 0 18 12  3  4  5 15 11  8  9],rnn,0,0.12327906489372253,0.9766153693199158,0.015322573482990265
14,ev_nm_20_2_5_1_rnn__36,[15  1 18 16  4  5 12  7  8  9],rnn,0,0.14385977387428284,0.9723076820373535,0.018082082271575928
15,ev_nm_20_2_5_1_rnn__36,[ 0  1 13  3 16  5  6 10 14  9],rnn,0,0.12034466862678528,0.9778461456298828,0.014733891002833843
16,ev_nm_20_2_5_1_rnn__36,[ 0 12  2  3 17  5 11 15  8 16],rnn,0,0.12190693616867065,0.9766153693199158,0.015290232375264168
17,ev_nm_20_2_5_1_rnn__36,[ 0 13  2 17  4  5  6 18 14  9],rnn,0,0.12463021278381348,0.9766153693199158,0.015282458625733852
18,ev_nm_20_2_5_1_rnn__36,[ 0 10 14 16 11 15  6  7 13 12],rnn,0,0.12531554698944092,0.9766153693199158,0.015432043001055717
19,ev_nm_20_2_5_1_rnn__36,[18  1  2 10 17  5 15 14  8 11],rnn,0,0.13416698575019836,0.9747692346572876,0.016549449414014816
20,ev_nm_20_2_5_1_rnn__36,[15 10  2  3  4  5  6  7  8 17],rnn,0,0.12316767126321793,0.9766153693199158,0.015243344940245152
21,ev_nm_20_2_5_1_rnn__36,[ 0 10  2  3 11  5 14  7 13  9],rnn,0,0.13192638754844666,0.9747692346572876,0.016542421653866768
22,ev_nm_20_2_5_1_rnn__36,[0 0 0 0 0 0 0 0 0 0],rnn,0,0.129110649228096,0.9772307872772217,0.015031006187200546
23,ev_ex_5_1_10_1_rnn__36,[ 0  1 14  3  4 18 12 10 13 16],rnn,0,0.11833108961582184,0.9766153693199158,0.015059751458466053
24,ev_ex_5_1_10_1_rnn__36,[ 0  1 14 12 18 10 13 17 15  9],rnn,0,0.14482200145721436,0.9716923236846924,0.018444320186972618
25,ev_ex_5_1_10_1_rnn__36,[ 0 13  2  3 16  5 12  7  8 11],rnn,0,0.136515811085701,0.9735384583473206,0.017074618488550186
26,ev_ex_5_1_10_1_rnn__36,[ 0 14  2 17 18  5 13 11  8 15],rnn,0,0.08939410001039505,0.984000027179718,0.010452774353325367
27,ev_ex_5_1_10_1_rnn__36,[ 0 11  2  3 15 18  6  7 10  9],rnn,0,0.12279296666383743,0.9772307872772217,0.014967922121286392
28,ev_ex_5_1_10_1_rnn__36,[ 0 17  2 16 18 11  6 13 14  9],rnn,0,0.13898085057735443,0.9723076820373535,0.01776023954153061
29,ev_ex_5_1_10_1_rnn__36,[ 0 13 12  3  4  5  6  7 10  9],rnn,0,0.1119602769613266,0.9790769219398499,0.01375578623265028
30,ev_ex_5_1_10_1_rnn__36,[ 0  1 16 14  4 17  6  7 12 10],rnn,0,0.12247366458177567,0.9766153693199158,0.015204898081719875
31,ev_ex_5_1_10_1_rnn__36,[ 0  1  2 15 13 14 17 11  8 12],rnn,0,0.13616091012954712,0.9741538166999817,0.016888797283172607
32,ev_ex_5_1_10_1_rnn__36,[ 0 14 13  3  4 16  6 15  8  9],rnn,0,0.11376874893903732,0.9784615635871887,0.013660239987075329
33,ev_ex_5_1_10_1_rnn__36,[ 0  1  2 14 13  5  6 17 15 18],rnn,0,0.12538833916187286,0.9760000109672546,0.015655124559998512
34,ev_ex_5_1_10_1_rnn__36,[ 0 18 12  3  4  5 15 11  8  9],rnn,0,0.12013425678014755,0.9772307872772217,0.014867343939840794
35,ev_ex_5_1_10_1_rnn__36,[15  1 18 16  4  5 12  7  8  9],rnn,0,0.11651164293289185,0.9784615635871887,0.014113000594079494
36,ev_ex_5_1_10_1_rnn__36,[ 0  1 13  3 16  5  6 10 14  9],rnn,0,0.11562123149633408,0.9784615635871887,0.01408089604228735
37,ev_ex_5_1_10_1_rnn__36,[ 0 12  2  3 17  5 11 15  8 16],rnn,0,0.10758284479379654,0.9815384745597839,0.012345843948423862
38,ev_ex_5_1_10_1_rnn__36,[ 0 13  2 17  4  5  6 18 14  9],rnn,0,0.12259611487388611,0.9766153693199158,0.015265458263456821
