,evnt_cd,sum_count,sum_score,avg_score
0,10,38521.0,51325.47271388177,1.332402396456005
1,11,731.0,746.2380031707521,1.0208454215742162
2,12,13845.0,14595.337364097553,1.054195548147169
3,13,10792.0,19862.52519141446,1.8404860258908877
4,14,5618.0,2639.7672491084377,0.4698766908345386
5,15,1030.0,515.6947279931843,0.5006744931972663
6,16,2377.0,747.6052907273119,0.31451631919533524
7,17,2102.0,6728.592038162934,3.201042834520901
8,18,900.0,1894.2174530252637,2.10468605891696
9,19,245.0,471.39754973234017,1.9240716315605721
10,20,32859.0,53047.82202855206,1.6144076821738962
11,21,668.0,1275.7325253651607,1.9097792295885638
12,22,1061.0,2403.7797064955666,2.265579365217311
13,23,1214.0,2564.6397292059755,2.1125533189505563
14,24,298.0,719.9252491419292,2.4158565407447288
15,25,3340.0,4643.150179885805,1.3901647245167081
16,26,2872.0,5362.095808135403,1.8670250028326612
17,27,610.0,1292.5263279581454,2.118895619603517
18,28,134.0,241.61162058954415,1.8030717954443594
19,29,0.0,0.0,0.0
20,30,14509.0,34996.59817094932,2.412061353018769
21,31,2473.0,6561.089852595286,2.653089305537924
22,32,708.0,1754.144855506764,2.4776057281168984
23,33,3087.0,4714.675427323433,1.5272677121229132
24,34,27.0,6.649919106365834,0.24629330023577164
25,35,1365.0,1599.1286587614518,1.1715228269314666
26,36,30742.0,79412.40053258944,2.5831891396977893
27,37,418.0,1275.8004527033945,3.0521541930703218
28,38,146.0,-268.3804696800211,-1.8382223950686378
29,39,505.0,-36.84257415189671,-0.0729555923799935
30,40,49143.0,127346.85688851535,2.5913529269380247
31,41,2170.0,3381.556869096382,1.558321137832434
32,42,52570.0,147565.4678149431,2.807028111374227
33,43,42229.0,109871.50937996333,2.6018023012612974
34,44,2851.0,8326.225214891067,2.9204578095023033
35,45,1532.0,1222.079787392369,0.7977022110916248
36,46,37900.0,99070.34301115185,2.6139932192916056
37,47,0.0,0.0,0.0
38,48,0.0,0.0,0.0
39,49,0.0,0.0,0.0
40,50,10926.0,37231.39812397099,3.407596386964213
41,51,25569.0,74600.02856196334,2.917596642886438
42,52,657.0,1030.0684110118355,1.5678362420271468
43,53,409.0,862.3536869193387,2.1084442222966717
44,54,923.0,2084.4271318366436,2.2583175859551936
45,55,369.0,1029.5866190142785,2.7902076396050908
46,56,104.0,-16.207651030977882,-0.15584279837478732
47,57,12527.0,37839.659369446315,3.0206481495526716
48,58,0.0,0.0,0.0
49,59,0.0,0.0,0.0
50,60,6282.0,12791.822250153926,2.0362658787255534
51,61,8411.0,9929.421853999047,1.180528100582457
52,62,2173.0,-2186.3444249306494,-1.0061410146942704
53,63,196.0,190.83643701416872,0.9736552908886159
54,64,204.0,-33.2483991414691,-0.16298234873269166
55,65,0.0,0.0,0.0
56,66,0.0,0.0,0.0
57,67,0.0,0.0,0.0
58,68,0.0,0.0,0.0
59,69,0.0,0.0,0.0
60,70,4242.0,13139.051905748547,3.0973719721236557
61,71,4093.0,8937.227508765596,2.1835395819119463
62,72,3104.0,240.95227639183508,0.07762637770355511
63,73,2059.0,6030.930868807505,2.929058217002188
64,74,137.0,-36.96231402719182,-0.26979791260723957
65,75,685.0,1378.0766584655305,2.011790742285446
66,76,0.0,0.0,0.0
67,77,0.0,0.0,0.0
68,78,0.0,0.0,0.0
69,79,0.0,0.0,0.0
70,80,6296.0,5997.434565690819,0.9525785523651237
71,81,528.0,181.23192989953844,0.34324229147639856
72,82,57.0,194.62516236442738,3.4144765327092523
73,83,1206.0,4191.413728535507,3.4754674365966065
74,84,6204.0,16774.607731945573,2.7038374809712398
75,85,340.0,-242.54668343987893,-0.7133725983525852
76,86,700.0,-964.4051140608371,-1.3777215915154817
77,87,4068.0,-1710.9284512080776,-0.42058221514456184
78,88,0.0,0.0,0.0
79,89,0.0,0.0,0.0
80,90,6335.0,7045.880531612005,1.1122147642639313
81,91,107.0,-60.590189545813274,-0.5662634536991895
82,92,133.0,379.1952638904787,2.8510922097028475
83,93,71.0,-44.53741417586939,-0.6272875236037941
84,94,69.0,-280.59651484044934,-4.066616157107961
85,95,0.0,0.0,0.0
86,96,0.0,0.0,0.0
87,97,0.0,0.0,0.0
88,98,0.0,0.0,0.0
89,99,0.0,0.0,0.0
90,100,21093.0,-5489.974559432349,-0.26027471480739345
91,101,934.0,-920.0620176538838,-0.9850771066958071
92,102,49.0,-18.060190442757683,-0.3685753151583201
93,103,103.0,-237.25578021222623,-2.3034541768177306
94,104,1069.0,723.6897856931881,0.676978284090915
95,105,2119.0,-2322.9503038997914,-1.0962483737139177
96,106,141.0,97.91269934976128,0.6944163074451155
97,107,6.0,-0.9018683108630201,-0.15031138514383668
98,108,0.0,0.0,0.0
99,109,0.0,0.0,0.0
100,110,24654.0,-2449.74720003053,-0.09936510099904804
101,111,42638.0,-57274.242559902836,-1.3432675678949022
102,112,52083.0,-68611.15992926854,-1.3173427016352466
103,113,1073.0,-646.2763877159903,-0.6023079102665333
104,114,5288.0,-1526.6954104162826,-0.28870941951896417
105,115,368.0,-304.08129886928236,-0.8263078773621804
106,116,15.0,-9.791552871172467,-0.6527701914114978
107,117,0.0,0.0,0.0
108,118,0.0,0.0,0.0
109,119,0.0,0.0,0.0
110,120,28771.0,-398.31837982115576,-0.013844439881170475
111,121,337.0,866.9315653635931,2.572497226598199
112,122,470.0,7.18741689004932,0.015292376361807065
113,123,142.0,61.57922994535679,0.43365654891096334
114,124,1993.0,-3331.0146272312063,-1.6713570633372836
115,125,2255.0,2628.6067640670963,1.165679274530863
